username|trade_count|bank_name|location_string|trade_type|temp_price|source|coin|Timestamp
amasuasa|500+|MERCANTIL|Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
PochsU|500+|BANESCO|Venezuela|ONLINE_BUY|98480000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
dalveily|100+|VENEZUELA|Venezuela|ONLINE_BUY|56109000900.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
josesaidv|17|MERCANTIL|Venezuela|ONLINE_BUY|24000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Joseramos01|18|BOD|Valencia, Carabobo, Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Joseramos01|18|PROVINCIAL|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Joseramos01|18|VENEZUELA|Valencia, Carabobo, Venezuela|ONLINE_BUY|99800000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
jessi08|30+|BANESCO|Venezuela|ONLINE_BUY|100352097000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
vmakey|5|BANESCO|Venezuela|ONLINE_BUY|98000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Semillita|100+|BANESCO|Barinas 5201, Barinas, Venezuela|ONLINE_BUY|97604772362.69|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
chanelalberto|100+|BANESCO|Valencia, Carabobo, Venezuela|ONLINE_BUY|102500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
ALEXANDRE00|100+|BANESCO|Venezuela|ONLINE_BUY|102000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
ALEXANDRE00|100+|PROVINCIAL|Venezuela|ONLINE_BUY|101500000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
crpyto_ve|70+|BANESCO|Venezuela, San Cristóbal 5017, Táchira, Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
crpyto_ve|70+|BANESCO|Valencia 2001, Carabobo, Venezuela|ONLINE_BUY|100271569421.78|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Wolfdavid|30+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|96000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
germanmoreno17|17|BANESCO|Venezuela|ONLINE_BUY|89360000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
mamablinka|30+|VENEZUELA|Merida, Mérida, Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|103100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Edirisg01|12|BOD|Venezuela|ONLINE_BUY|103100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Miguelrojas02|500+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101900000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Anelgomez|100+|MERCANTIL|Cumana, Sucre, Venezuela|ONLINE_BUY|101900000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
lsh09080200|100+|BANESCO|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
lsh09080200|100+|VENEZUELA|Venezuela|ONLINE_BUY|101338288245.42|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
lsh09080200|100+|BANCARIBE|Venezuela|ONLINE_BUY|100804928833.60|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
linyawuzheng520|100+|BANESCO|Venezuela|ONLINE_BUY|100100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|99204850598.15|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
franklinrsa|19|MERCANTIL|Venezuela|ONLINE_BUY|98138131774.51|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
jennycampos|30+|VENEZUELA|Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
chiquitabella|100+|PROVINCIAL|Caracas, Capital District, Venezuela|ONLINE_BUY|98100000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
xfearless|8|VENEZUELA|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
Jhonglervivasm5|30+|BANESCO|Venezuela|ONLINE_BUY|94937975303.60|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
bittybit42|12|BANESCO|Venezuela|ONLINE_BUY|90671100009.06|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
cryptozuelans|500+|BOD|Caracas, Capital District, Venezuela|ONLINE_BUY|87470943538.15|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
rogersdesantis|10|⚡Pago Móvil ⚡|Venezuela|ONLINE_BUY|78937192949.06|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
asac2410|5|BOD|Maracaibo, Zulia, Venezuela|ONLINE_BUY|76000000000.00|LocalBitcoin|bitcoin|2021-03-11 11:34:15.884862
